Date,1 AUD,100 BGN,1 BRL,1 CAD,100 CHF,100 CNY,100 CZK,100 DKK,1 EUR,1 GBP,1 HKD,100 HRK,100 HUF, I44,100 IDR,1 ILS,100 INR,100 JPY,100 KRW,1 LTL,100 MXN,1 MYR,1 NZD,100 PHP,100 PKR,1 PLN,100 RON,100 RUB,100 SEK,1 SGD,100 THB,100 TRY,100 TWD, TWI,1 USD,1 XDR,1 ZAR,100 BYR,1 BYN
02.Jan.01,4.9311,424.73,4.5019,5.8849,545.83,105.4,23.657,111.33,8.3065,13.154,1.1302,ND,3.14,103.2,0.092,ND,18.706,7.6727,0.6908,2.203,ND,2.2963,3.8879,17.191,14.813,2.151,ND,30.587,93.46,5.0817,20.137,ND,26.745,107.86,8.8151,11.5391,1.1644,ND,ND
03.Jan.01,4.9155,425.12,4.5008,5.8282,546.29,105.65,23.504,111.46,8.3145,13.145,1.1185,ND,3.143,102.99,0.092,ND,18.746,7.6364,0.6865,2.181,ND,2.3016,3.9087,17.232,15.13,2.13,ND,30.613,92.93,5.0376,20.042,ND,26.405,107.64,8.7246,11.4757,1.1659,ND,ND
04.Jan.01,4.9364,422.94,4.4855,5.8489,543.54,104.93,23.524,110.84,8.271,13.075,1.1212,ND,3.124,102.67,0.092,ND,18.608,7.6406,0.6947,2.186,ND,2.2861,3.8904,17.082,14.798,2.122,ND,30.564,92.77,5.0467,20.14,ND,26.54,107.29,8.745,11.4673,1.1648,ND,ND
05.Jan.01,4.9546,423.92,4.4824,5.7785,542.25,105.56,23.529,111.09,8.291,13.059,1.1137,ND,3.13,102.6,0.092,ND,18.73,7.4546,0.6881,2.171,ND,2.2996,3.9221,17.183,14.834,2.131,ND,30.728,92.82,5.0094,20.086,ND,26.424,107.2,8.6862,11.3916,1.1568,ND,ND
08.Jan.01,4.9555,424.3,4.4897,5.8387,543.38,106.01,23.592,111.16,8.298,13.113,1.1202,ND,3.132,102.86,0.093,ND,18.823,7.5061,0.6901,2.184,ND,2.3095,3.9351,17.257,14.898,2.135,ND,30.908,92.94,5.0548,20.308,ND,26.639,107.43,8.7375,11.4474,1.1551,ND,ND
09.Jan.01,4.9201,421.8,4.4867,5.8661,541.59,105.32,23.51,110.52,8.2495,13.065,1.125,ND,3.113,102.44,0.092,ND,18.719,7.5837,0.6835,2.194,ND,2.2944,3.9025,17.161,14.992,2.123,ND,30.69,92.17,5.0657,20.348,ND,26.876,106.95,8.7751,11.4548,1.1423,ND,ND
10.Jan.01,4.8703,419.52,4.4317,5.8266,538.28,104.03,23.364,109.91,8.205,13.007,1.1177,ND,3.095,101.86,0.09,ND,18.49,7.5048,0.6882,2.179,ND,2.2663,3.9077,16.884,14.82,2.099,ND,30.285,91.95,5.026,20.156,ND,26.684,106.43,8.7176,11.3798,1.1077,ND,ND
11.Jan.01,4.8094,419.31,4.3998,5.7508,535.11,103.61,23.197,109.82,8.2,12.913,1.104,ND,3.094,101.48,0.09,ND,18.414,7.3378,0.6737,2.152,ND,2.2569,3.8763,16.748,14.759,2.091,ND,30.272,92.26,4.9607,19.772,ND,26.397,106.09,8.6107,11.2402,1.0901,ND,ND
12.Jan.01,4.8139,418.48,4.4663,5.7463,531.15,105.22,23.148,109.62,8.185,12.773,1.0994,ND,3.087,101.34,0.091,ND,18.733,7.2853,0.6692,2.143,ND,2.2922,3.8696,16.911,14.99,2.093,ND,30.76,92.41,4.9486,19.781,ND,26.288,105.79,8.5752,11.2158,1.0821,ND,ND
15.Jan.01,4.8164,419.83,4.4814,5.7946,532.25,105.37,23.29,109.98,8.211,12.854,1.1166,ND,3.097,101.83,0.092,ND,18.767,7.3365,0.6773,2.177,ND,2.2953,3.8669,16.675,14.844,2.12,ND,30.793,92.58,5.0162,20.044,ND,26.699,106.3,8.7092,11.3287,1.1042,ND,ND
16.Jan.01,4.8488,419.8,4.4857,5.8044,533.51,105.74,23.169,109.93,8.208,12.811,1.1181,ND,3.098,101.75,0.093,ND,18.833,7.3767,0.6798,2.18,ND,2.3032,3.8886,16.481,14.833,2.129,ND,30.857,91.92,5.0269,20.21,ND,26.735,106.14,8.7208,11.3408,1.1156,ND,ND
17.Jan.01,4.8729,420.81,4.4818,5.8056,534.86,105.7,23.144,110.13,8.223,12.917,1.122,ND,3.102,102.02,0.093,ND,18.862,7.4349,0.6848,2.187,ND,2.3025,3.9194,16.171,14.955,2.132,ND,30.793,92.06,5.0507,20.256,ND,26.829,106.46,8.7516,11.3747,1.1227,ND,ND
18.Jan.01,4.8594,421.36,4.4802,5.7953,538.31,105.75,23.295,110.18,8.227,12.885,1.1217,ND,3.104,102.01,0.093,ND,18.879,7.3931,0.6813,2.187,ND,2.3035,3.9079,16.059,14.885,2.127,ND,30.864,92.16,5.0306,20.228,ND,26.819,106.44,8.7484,11.3712,1.1046,ND,ND
19.Jan.01,4.8921,420.88,4.514,5.7998,538.84,106.79,23.39,110.18,8.227,12.895,1.1221,ND,3.104,102.22,0.094,ND,19.081,7.4345,0.6851,2.188,ND,2.3262,3.9243,18.224,15.057,2.136,ND,31.173,92.57,5.0361,20.33,ND,26.863,106.6,8.7521,11.3884,1.1072,ND,ND
22.Jan.01,4.8828,420.15,4.4953,5.8554,535.27,106.27,23.345,109.97,8.211,12.85,1.1332,ND,3.099,102.17,0.094,ND,18.996,7.5831,0.694,2.209,ND,2.3154,3.9425,18.046,14.961,2.13,ND,30.977,91.92,5.0937,20.531,ND,27.15,106.51,8.8385,11.4638,1.1213,ND,ND
23.Jan.01,4.8837,423.26,4.5369,5.8455,540.32,107.3,23.531,110.83,8.2755,12.955,1.1279,ND,3.123,102.68,0.095,ND,19.19,7.5082,0.6902,2.199,ND,2.3378,3.939,18.222,15.211,2.148,ND,31.282,92.37,5.0516,20.423,ND,27.006,107.06,8.7972,11.4536,1.1185,ND,ND
24.Jan.01,4.8884,422.17,4.5842,5.8724,538.8,108.64,23.611,110.62,8.256,13.02,1.1389,ND,3.115,102.91,0.096,ND,19.422,7.5198,0.6978,2.22,ND,2.3669,3.9455,18.431,15.427,2.163,ND,31.645,92.66,5.1013,20.642,ND,27.291,107.19,8.8832,11.5084,1.1271,ND,ND
25.Jan.01,4.8915,420.72,4.5116,5.9346,539.52,107.47,23.551,110.23,8.226,13.049,1.1532,ND,3.103,102.9,0.095,ND,19.158,7.6771,0.706,2.248,ND,2.3413,3.9021,18.231,15.195,2.163,ND,31.358,92.43,5.1625,20.909,ND,27.632,107.21,8.9941,11.5849,1.1414,ND,ND
26.Jan.01,4.8172,419.95,4.5159,5.9158,537.37,107.68,23.593,110.03,8.21,13.001,1.1407,ND,3.097,102.55,0.095,ND,19.204,7.6237,0.695,2.224,ND,2.3462,3.8706,18.009,15.238,2.153,ND,31.424,92.18,5.0946,20.78,ND,27.32,106.83,8.8968,11.5282,1.1248,ND,ND
29.Jan.01,4.8419,419.14,4.507,5.9277,538.15,107.52,23.576,109.82,8.195,13,1.1429,ND,3.091,102.57,0.095,ND,19.171,7.6482,0.7047,2.228,ND,2.3428,3.882,18.074,15.242,2.157,ND,31.377,92.49,5.104,20.904,ND,27.413,106.87,8.9144,11.5157,1.1315,ND,ND
30.Jan.01,4.8492,418.6,4.4796,5.9284,538.44,106.65,23.62,109.73,8.1865,12.999,1.1413,ND,3.087,102.46,0.094,ND,19.045,7.6239,0.7034,2.225,ND,2.3238,3.8806,17.891,15.106,2.159,ND,31.081,92.6,5.093,20.856,ND,27.524,106.81,8.9013,11.4943,1.131,ND,ND
31.Jan.01,4.8168,419.54,4.4368,5.88,536.2,105.48,23.652,109.97,8.205,12.887,1.1321,ND,3.094,102.31,0.093,ND,18.843,7.6064,0.7012,2.207,ND,2.2981,3.8862,17.856,14.799,2.161,ND,30.672,92.82,5.0667,20.784,ND,27.327,106.78,8.8292,11.4585,1.1389,ND,ND
